content_id,user_101,user_102,user_103,user_104,user_105,user_106,user_107,user_108
content_1,3,0,3,2,0,0,1,2
content_2,6,4,0,1,3,5,3,1
content_3,3,6,6,6,6,4,3,6
content_4,0,6,6,6,2,3,4,0
content_5,0,0,3,0,6,6,0,6
content_6,6,6,5,1,3,6,6,0
content_7,6,0,6,1,1,2,2,3
content_8,0,0,0,5,0,3,5,6
content_9,2,5,5,6,6,3,4,4
content_10,1,4,4,3,0,2,1,4
content_11,6,2,6,0,2,4,6,2
content_12,1,0,3,6,4,6,6,6
content_13,6,6,3,6,6,5,3,1
content_14,0,2,0,3,4,1,0,0
content_15,6,2,4,5,0,6,0,3
content_16,6,6,6,2,1,0,4,4
content_17,0,6,0,6,6,0,0,0
content_18,6,6,2,2,0,0,1,5
content_19,6,2,0,0,2,6,4,3
content_20,6,0,5,0,0,6,0,0
content_21,5,6,6,5,5,5,0,0
content_22,0,4,2,5,4,6,2,1
content_23,0,1,2,0,6,2,5,6
content_24,3,6,4,3,5,1,6,0
content_25,5,2,6,6,0,6,0,0
content_26,5,3,0,0,3,0,3,4
content_27,6,6,1,1,6,6,5,0
content_28,0,2,3,6,0,6,5,5
content_29,0,5,0,0,5,0,3,0
content_30,6,5,5,0,3,0,0,5
content_31,6,0,3,1,2,3,6,2
content_32,0,3,0,3,1,1,2,3
content_33,6,0,1,5,0,0,6,3
content_34,0,3,5,3,2,6,0,2
content_35,0,6,3,0,6,3,2,0
content_36,5,4,5,3,0,6,4,1
content_37,6,3,6,3,2,6,3,3
content_38,0,6,0,1,6,0,2,0
content_39,6,1,6,4,0,3,6,2
content_40,0,0,4,1,3,3,5,6
content_41,1,4,0,1,0,4,0,1
content_42,5,0,1,3,3,0,0,6
content_43,4,3,2,0,0,6,4,0
content_44,6,0,2,0,6,5,3,0
content_45,3,1,0,0,6,2,2,3
content_46,0,3,3,6,4,3,6,6
content_47,0,2,6,0,0,0,1,0
content_48,0,0,6,6,6,5,3,4
content_49,5,4,6,6,3,6,6,0
content_50,6,6,0,0,0,0,0,5
content_51,0,3,0,2,6,5,0,0
content_52,0,6,4,4,2,6,6,2
content_53,6,6,0,1,2,5,0,1
content_54,5,0,6,3,6,6,0,1
content_55,0,4,3,3,5,0,4,4
content_56,6,4,0,3,3,0,5,5
content_57,4,6,6,6,0,4,2,5
content_58,6,6,3,5,4,2,5,3
content_59,3,4,6,1,5,5,0,0
content_60,3,1,0,5,1,0,0,0
content_61,1,5,2,0,4,0,4,0
content_62,6,1,2,5,4,0,5,3
content_63,2,6,0,6,3,5,5,3
content_64,2,0,0,6,3,3,6,1
content_65,5,3,0,0,4,6,5,5
content_66,6,0,6,2,1,2,4,3
content_67,2,5,6,5,4,3,4,0
content_68,6,6,5,6,3,6,0,0
content_69,6,6,3,3,5,2,4,0
content_70,0,6,6,3,3,0,0,1
content_71,6,0,0,5,0,6,0,4
content_72,6,6,0,3,6,2,0,4
content_73,2,1,2,2,0,6,0,4
content_74,3,3,0,0,3,5,3,0
content_75,0,2,6,3,6,6,6,3
content_76,6,0,3,2,1,6,5,0
content_77,5,5,5,0,3,6,5,0
content_78,4,6,2,1,0,4,0,0
content_79,6,6,6,1,0,6,0,6
content_80,5,3,3,1,1,5,6,6
content_81,5,0,3,1,1,0,0,3
content_82,0,6,3,3,2,5,6,0
content_83,5,6,2,6,6,6,6,0
content_84,6,1,3,6,6,6,0,5
content_85,6,6,4,0,6,0,0,6
content_86,3,6,0,3,4,6,6,6
content_87,1,6,6,0,0,2,6,4
content_88,4,3,3,6,5,4,2,5
content_89,6,3,3,4,3,3,6,4
content_90,6,0,4,4,0,0,4,1
content_91,0,4,5,2,0,0,4,6
